"","track_name","artist.s._name","released_year","released_month","in_spotify_playlists","listas_spotify_log","bpm","porcentaje_bailable","porcentaje_energia","porcentaje_acustica","porcentaje_instrumental","porcentaje_voz","porcentaje_envivo","modo","valencia","clave_sol"
"213","Piï¿½ï¿½man Deï¿","Semicenk, Doï¿½ï¿½u ",2023,6,185,5.22035582507832,98,73,62,28,0,13,13,"Minor",45,0
"214","FLOWER","JISOO",2023,3,839,6.73221070646721,124,84,39,3,0,4,11,"Minor",64,0
"215","All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",2023,6,259,5.55682806169954,135,77,55,18,0,15,22,"Minor",28,0
"216","Eyes Closed","Ed Sheeran",2023,3,2915,7.97762509878459,107,78,53,30,0,6,11,"Major",39,0
"217","Escapism.","RAYE, 070 Shake",2022,10,5129,8.54266598738927,96,54,74,14,0,11,9,"Major",25,0
"218","La Jumpa","Arcangel, Bad Bunny",2022,11,3794,8.24117615049496,123,71,70,30,0,19,32,"Major",58,0
"219","Karma (feat. Ice Spice)","Taylor Swift, Ice Spice",2023,5,588,6.37672694789863,90,62,62,6,0,6,58,"Major",7,0
"220","Superhero (Heroes & Villains) [with Future & Chris Brown]","Future, Chris Brown, Metro Boomin",2022,12,2959,7.99260665240021,117,72,59,14,0,21,20,"Minor",45,0
"221","Las Morras","BLESSD, Peso Pluma",2023,4,291,5.67332326717149,133,78,84,31,0,4,7,"Minor",90,0
"222","CHORRITO PA LAS ANIMAS","Feid",2022,12,2321,7.74975340627444,96,74,83,11,0,6,35,"Minor",61,0
"223","Ch y la Pizza","Fuerza Regida, Natanael Cano",2022,12,536,6.2841341610708,149,66,60,40,0,13,14,"Major",85,0
"224","Snow On The Beach (feat. More Lana Del Rey)","Lana Del Rey, Taylor Swift",2023,5,359,5.88332238848828,110,66,40,81,0,3,11,"Minor",32,0
"225","Players","Coi Leray",2022,11,4096,8.31776616671934,105,95,52,3,0,16,5,"Major",62,0
"226","Bite Me","ENHYPEN",2023,5,349,5.85507192220243,105,80,78,28,0,14,11,"Major",69,0
"227","Stand By Me (feat. Morgan Wallen)","Lil Durk, Morgan Wallen",2023,5,381,5.9427993751267,134,76,58,6,0,3,16,"Major",61,0
"228","Normal","Feid",2022,7,2461,7.80832305039106,170,71,56,4,0,12,27,"Minor",59,0
"229","Hummingbird (Metro Boomin & James Blake)","James Blake, Metro Boomin",2023,6,277,5.62401750618734,81,59,60,46,1,13,25,"Major",26,0
"230","Seu Brilho Sumiu - Ao Vivo","Israel & Rodolffo, Mari Fernandez",2023,3,967,6.87419849545329,154,63,92,31,0,5,91,"Major",75,0
"231","Bad Habit","Steve Lacy",2022,6,8186,9.01018065705235,169,69,51,63,0,4,38,"Major",69,0
"232","CUFF IT","Beyoncï¿",2022,7,7842,8.96724918285228,115,78,69,4,0,14,7,"Major",64,1
"233","Lilith (feat. SUGA of BTS) (Diablo IV Anthem)","Halsey, Suga",2023,6,215,5.37063802812766,84,43,74,1,0,8,19,"Minor",14,0
"234","69","Nicky Jam, Feid",2023,5,1134,7.0335064842877,93,79,62,11,0,23,11,"Major",58,0
"235","Niï¿½ï¿½a Bo","Sean Paul, Feid",2023,4,1305,7.17395831975679,91,82,62,10,0,15,10,"Major",47,1
"236","Search & Rescue","Drake",2023,4,2066,7.63336964967958,142,82,44,6,0,7,33,"Minor",54,0
"237","AMERICA HAS A PROBLEM (feat. Kendrick Lamar)","Kendrick Lamar, Beyoncï¿",2023,5,896,6.79794041297493,126,78,70,1,0,4,16,"Major",20,0
"238","Lavender Haze","Taylor Swift",2022,10,3763,8.23297179059344,97,73,44,26,0,8,16,"Major",10,0
"239","Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",2023,6,197,5.28320372873799,101,92,51,41,51,8,26,"Major",59,0
"240","Efecto","Bad Bunny",2022,5,4004,8.29504914043511,98,80,48,14,0,5,6,"Minor",23,1
"241","Erro Gostoso - Ao Vivo","Simone Mendes",2023,1,984,6.89162589705225,154,59,89,18,0,9,80,"Major",63,0
"242","Cupido","Tini",2023,2,1240,7.12286665859908,120,91,58,52,0,22,31,"Major",63,0
"243","Just Wanna Rock","Lil Uzi Vert",2022,10,3995,8.29279885820037,150,49,55,7,0,3,6,"Major",4,0
"244","Unstoppable","Sia",2016,1,7681,8.94650502599868,174,47,78,11,0,8,10,"Major",27,0
"245","Until I Found You","Stephen Sanchez",2021,9,4427,8.39547743273214,202,34,51,69,0,4,18,"Major",25,0
"246","Rich Flex","Drake, 21 Savage",2022,11,4657,8.44612674298238,153,56,52,5,0,24,36,"Minor",42,0
"247","Easy On Me","Adele",2021,10,10195,9.22965268300856,142,60,37,58,0,3,13,"Major",13,0
"248","Cartï¿½ï¿½o B","MC Caverinha, KayBlack",2023,5,269,5.59471137960184,108,84,47,26,0,64,20,"Minor",55,0
"249","Danger (Spider) (Offset & JID)","Offset, JID",2023,6,214,5.36597601502185,143,83,69,4,0,12,23,"Major",25,0
"250","Oi Balde - Ao Vivo","Zï¿½ï¿½ Neto & Crist",2023,2,845,6.73933662735717,108,67,67,60,0,5,80,"Major",55,0
"251","The Real Slim Shady","Eminem",2000,1,20763,9.94092783550997,104,95,66,3,0,6,4,"Minor",78,0
"252","MERCHO","Migrantes, LiL CaKe, Nico Valdi",2022,12,1267,7.14440718032114,93,84,79,43,0,11,18,"Minor",96,0
"253","The Color Violet","Tory Lanez",2021,12,2585,7.85748078694253,105,65,53,16,0,5,9,"Minor",46,0
"254","Glimpse of Us","Joji",2022,6,6330,8.75305551513822,170,44,32,89,0,5,14,"Major",27,0
"255","Mejor Que Yo","Mambo Kingz, DJ Luian, Anuel Aa",2023,5,675,6.51471269087253,178,62,66,18,0,5,12,"Minor",56,0
"256","Curtains","Ed Sheeran",2023,5,715,6.57228254269401,176,50,76,10,0,5,32,"Minor",44,0
"257","UNFORGIVEN (feat. Nile Rodgers)","Nile Rodgers, LE SSERAFIM",2023,5,327,5.78996017089725,104,80,88,11,0,5,11,"Minor",38,0
"258","Haegeum","Agust D",2023,4,244,5.4971682252932,85,70,84,31,0,30,47,"Major",83,1
"259","Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ","Rich The Kid, Matuï¿",2023,4,385,5.95324333428778,117,77,58,39,0,5,26,"Minor",69,0
"260","MIENTRAS ME CURO DEL CORA","Karol G",2023,2,1020,6.92755790627832,80,52,48,86,0,39,15,"Major",57,0
"261","Never Felt So Alone","Labrinth",2023,4,1730,7.45587668749182,98,44,41,50,0,5,38,"Major",36,0
"262","X SI VOLVEMOS","Karol G, Romeo Santos",2023,2,2127,7.66246781520024,178,79,78,34,0,25,11,"Minor",58,0
"263","ceilings","Lizzy McAlpine",2022,4,3242,8.08394570229562,148,51,33,48,0,3,22,"Major",27,0
"264","Cupid","Fifty Fifty",2023,2,526,6.26530121273771,120,77,66,65,0,3,38,"Major",94,0
"265","I AM","IVE",2023,4,366,5.90263333340137,122,68,88,1,0,5,8,"Minor",38,0
"266","Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe","sped up 8282",1997,1,472,6.15697898558556,144,74,73,42,0,4,9,"Major",75,0
"267","Shorty Party","Cartel De Santa, La Kelly",2023,3,432,6.06842558824411,96,93,47,33,0,36,10,"Major",47,0
"268","Super","SEVENTEEN",2023,4,271,5.6021188208797,137,77,88,16,0,9,17,"Major",35,0
"269","Slut Me Out","NLE Choppa",2022,4,816,6.70441435496411,121,94,61,12,0,42,53,"Minor",71,0
"270","Double Fantasy (with Future)","The Weeknd, Future",2023,4,1169,7.06390396147207,119,60,57,1,0,3,50,"Minor",10,0
"271","All Of The Girls You Loved Before","Taylor Swift",2019,8,1282,7.15617663748062,96,72,47,71,0,4,13,"Major",40,0
"272","PROVENZA","Karol G",2022,4,6587,8.79285328864069,111,87,52,66,1,5,11,"Major",53,0
"273","Princess Diana (with Nicki Minaj)","Nicki Minaj, Ice Spice",2023,4,1444,7.27517231945277,148,90,68,14,0,19,10,"Major",74,0
"274","Di Que Si","Grupo Marca Registrada, Grupo Frontera",2023,2,356,5.87493073085203,182,57,59,8,0,5,6,"Major",80,0
"275","Shivers","Ed Sheeran",2021,9,10147,9.22493337427908,141,79,86,28,0,9,4,"Major",82,0
"276","Igualito a Mi Apï¿","Fuerza Regida, Peso Pluma",2022,12,265,5.57972982598622,145,76,81,19,0,9,6,"Minor",80,0
"277","Shoong! (feat. LISA of BLACKPINK)","TAEYANG, Lisa",2023,4,351,5.86078622346587,110,76,70,1,0,6,41,"Minor",26,0
"278","Komang","Raim Laode",2022,8,158,5.06259503302697,134,70,41,41,0,3,10,"Major",35,1
"279","DESPECHï¿","ROSALï¿½",2022,7,7613,8.93761259130621,130,92,62,18,0,10,6,"Major",78,1
"280","Made You Look","Meghan Trainor",2022,10,3956,8.2829886927426,145,84,53,35,0,7,8,"Major",88,0
"281","Watch This - ARIZONATEARS Pluggnb Remix","sped up nightcore, ARIZONATEARS, Lil Uzi Vert",2023,2,1638,7.40123126441302,130,69,90,1,10,4,15,"Minor",36,0
"282","No Se Va","Grupo Frontera",2022,4,924,6.82871207164168,173,59,53,12,0,3,23,"Major",69,0
"283","Punto G","Quevedo",2022,11,1985,7.59337419312129,92,75,76,25,0,15,10,"Minor",55,0
"284","Lovers Rock","TV Girl",2014,6,6339,8.75447630628417,105,56,87,0,1,4,10,"Minor",57,0
"285","METAMORPHOSIS","INTERWORLD",2021,11,1561,7.35308192051543,175,59,64,43,90,10,12,"Minor",15,1
"286","Mami Chula","Quevedo, Jhayco",2023,4,875,6.77422388635761,120,80,70,22,0,4,9,"Minor",33,1
"287","En Paris","El Chachito, Junior H",2022,12,406,6.00635315960173,139,70,48,37,0,5,12,"Minor",77,0
"288","Set Me Free Pt.2","Jimin",2023,3,340,5.82894561761021,132,59,82,12,0,6,12,"Minor",56,0
"289","I Was Never There","The Weeknd, Gesaffelstein",2018,3,4188,8.33997857199043,114,32,74,14,0,3,17,"Major",17,0
"290","Don't ever say love me (feat. RM of BTS)","RM, Colde",2023,5,105,4.65396035015752,145,54,48,36,0,5,37,"Minor",19,0
"291","Shut Down","BLACKPINK",2022,9,1524,7.32909373624659,110,82,69,0,0,4,18,"Major",67,0
"292","Gato de Noche","Nengo Flow, Bad Bunny",2022,12,2651,7.88269220628903,94,89,66,17,0,16,36,"Major",61,0
"293","Call Out My Name","The Weeknd",2018,3,11087,9.31352852977235,134,45,60,21,0,4,33,"Major",17,0
"294","Like Crazy (English Version)","Jimin",2023,3,373,5.92157841964382,120,62,76,0,0,4,39,"Major",32,1
"295","Rosa Pastel","Jasiel Nuï¿½ï¿½ez, Peso P",2023,2,200,5.29831736654804,123,70,68,24,0,4,11,"Minor",86,1
"296","Sunroof","Nicky Youre, Dazy",2021,12,3741,8.22710823434815,131,77,71,35,0,4,15,"Major",84,0
"297","Lose Yourself - Soundtrack Version","Eminem",2002,1,32502,10.389056904886,171,70,73,1,0,26,36,"Major",6,0
"298","Superman","Eminem, Dina Rae",2002,5,7615,8.93787526532926,130,80,76,2,0,6,20,"Minor",64,0
"299","Mas Rica Que Ayer","Mambo Kingz, DJ Luian, Anuel Aa",2023,3,1208,7.09672137849476,94,82,67,34,0,8,9,"Major",53,0
"300","People Pt.2 (feat. IU)","IU, Agust D",2023,4,209,5.34233425196481,89,73,57,39,0,6,32,"Minor",44,1
"301","REMIX EXCLUSIVO","Feid",2023,3,1235,7.11882624906208,87,65,56,4,0,20,15,"Minor",71,0
"302","Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2023,3,654,6.4831073514572,124,72,78,55,0,30,15,"Minor",79,0
"303","DOGTOOTH","Tyler, The Creator",2023,3,1479,7.2991214627108,78,71,65,51,0,32,22,"Major",80,0
"304","10:35","Tiï¿½ï¿½sto, Tate M",2022,11,4942,8.50552538654856,120,70,79,7,0,10,18,"Major",70,0
"305","SORRY NOT SORRY","Tyler, The Creator",2023,3,709,6.56385552653213,96,48,80,40,0,20,37,"Minor",50,0
"306","HAPPY","NF",2023,3,660,6.49223983502047,106,73,86,31,0,4,12,"Major",22,1
"307","La Bebe","Yng Lvcas",2021,12,489,6.19236248947487,170,78,46,62,0,35,12,"Minor",75,0
"308","I Know - PR1SVX Edit","Kanii, PR1ISVX",2023,3,407,6.00881318544259,134,67,76,8,47,7,30,"Minor",11,0
"309","Late Night Talking","Harry Styles",2022,5,7461,8.91744473247151,115,71,73,30,0,5,11,"Major",90,0
"310","Leï¿½","Marï¿½ï¿½lia Mendo",2022,12,993,6.90073066404517,130,74,87,45,0,3,30,"Major",79,0
"311","Save Your Tears (with Ariana Grande) (Remix)","Ariana Grande, The Weeknd",2020,3,9161,9.12271062201521,118,65,79,3,0,3,10,"Major",63,0
"312","Something in the Orange","Zach Bryan",2022,4,3282,8.09620827165004,110,59,38,42,0,3,12,"Major",22,1
"313","VOID","Melanie Martinez",2023,3,596,6.39024066706535,100,72,66,18,4,4,19,"Major",42,0
"314","Dijeron Que No La Iba Lograr","Fuerza Regida, Chino Pacas",2023,3,320,5.76832099579377,142,70,79,26,0,7,11,"Minor",76,1
"315","Midnight Rain","Taylor Swift",2022,10,2612,7.86787149039632,140,64,37,72,0,7,12,"Major",18,0
"316","If We Ever Broke Up","Mae Stephens",2023,2,2040,7.62070508683826,116,90,73,62,0,4,9,"Major",96,1
"317","You Proof","Morgan Wallen",2022,5,2128,7.66293785046154,120,73,85,25,0,3,61,"Major",64,0
"318","LA INOCENTE","Feid, Mora",2022,4,2598,7.86249719723055,92,76,79,31,0,6,7,"Minor",46,0
"319","Malas Decisiones","Kenia OS",2022,10,542,6.29526600143965,110,81,79,5,0,3,31,"Minor",64,0
"320","Murder In My Mind","Kordhell",2022,1,2459,7.80751004221619,120,71,97,1,0,11,13,"Major",57,0
"321","Gangsta's Paradise","Coolio, L.V.",1995,7,10624,9.27087087171621,80,63,61,9,0,6,56,"Major",40,0
"322","CAIRO","Karol G, Ovy On The Drums",2022,11,2418,7.79069603117474,115,95,69,47,0,31,9,"Minor",43,0
"323","I Love You So","The Walters",2014,11,7536,8.9274468162562,76,58,67,65,0,4,13,"Major",46,0
"324","Dark Red","Steve Lacy",2017,2,10431,9.25253742067597,172,60,78,45,0,6,12,"Major",77,0
"325","Say You Won't Let Go","James Arthur",2016,9,15722,9.6628162843537,99,40,56,69,0,5,9,"Major",45,0
"326","The Hills","The Weeknd",2015,5,25744,10.1559568692322,136,36,57,9,0,8,14,"Minor",12,0
"327","Heart To Heart","Mac DeMarco",2019,5,1640,7.40245152081824,150,90,14,67,35,10,11,"Minor",64,0
"328","Peaches (from The Super Mario Bros. Movie)","Jack Black",2023,4,34,3.52636052461616,92,71,31,79,0,5,10,"Minor",41,0
"329","Marisola - Remix","Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",2022,12,1845,7.52023455647463,95,77,87,17,0,5,7,"Major",72,0
"330","LOKERA","Brray, Rauw Alejandro, Lyanno",2022,7,3301,8.10198073185319,102,83,83,21,0,5,10,"Minor",58,0
"331","Low","SZA",2022,12,1911,7.55538194424027,145,70,55,43,0,6,16,"Minor",34,0
"332","Numb","Linkin Park",2003,3,20111,9.9090222080346,110,50,86,0,0,4,64,"Major",24,0
"333","Tormenta (feat. Bad Bunny)","Gorillaz, Bad Bunny",2023,2,1529,7.33236920592906,95,64,77,46,0,6,38,"Major",30,0
"334","on the street (with J. Cole)","j-hope, J. Cole",2023,3,615,6.42162226780652,94,68,82,53,0,13,9,"Minor",81,0
"335","One Thing At A Time","Morgan Wallen",2022,12,811,6.69826805411541,142,61,91,0,0,3,26,"Major",92,1
"336","Miss You","Robin Schulz, Oliver Tree",2022,8,5730,8.65347080970879,145,59,74,1,0,5,15,"Minor",20,0
"337","Ainï¿½ï¿½ï¿½t Tha","Morgan Wallen",2023,3,356,5.87493073085203,121,64,80,0,0,3,36,"Minor",67,0
"338","Thinkinï¿½ï¿½ï¿½ B","Morgan Wallen",2023,3,604,6.40357419793482,140,66,76,49,0,3,12,"Minor",43,0
"339","Private Landing (feat. Justin Bieber & Future)","Don Toliver, Future, Justin Bieber",2023,2,1190,7.08170858610557,137,84,67,8,0,6,11,"Minor",44,0
"340","Everything I Love","Morgan Wallen",2023,1,579,6.361302477573,104,56,85,0,0,3,15,"Major",72,0
"341","Heaven","Niall Horan",2023,2,1553,7.34794382314869,92,57,76,7,0,3,33,"Major",68,0
"342","LET GO","Central Cee",2022,12,2301,7.74109909003537,146,74,45,86,0,38,21,"Minor",51,0
"343","Sial","Mahalini",2023,1,134,4.89783979995091,120,56,43,89,0,4,12,"Major",20,0
"344","I Wrote The Book","Morgan Wallen",2023,1,430,6.06378520868761,144,68,81,9,0,4,8,"Major",83,0
"345","Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2022,11,86,4.45434729625351,94,59,56,80,0,3,6,"Major",44,0
"346","SPIT IN MY FACE!","ThxSoMch",2022,10,629,6.44413125670044,94,73,79,5,2,6,11,"Major",65,0
"347","PLAYA DEL INGLï¿½","Myke Towers, Quevedo",2022,12,1701,7.43897159239586,113,79,74,8,0,5,11,"Minor",66,1
"348","Man Made A Bar (feat. Eric Church)","Morgan Wallen, Eric Church",2023,3,329,5.79605775076537,148,50,76,12,0,3,12,"Major",49,0
"349","Red Ruby Da Sleeze","Nicki Minaj",2023,3,1168,7.06304816338817,98,70,73,12,0,26,11,"Major",29,0
"350","Kahani Suno 2.0","Kaifi Khalil",2022,5,162,5.08759633523238,140,58,38,91,0,4,10,"Major",26,0
"351","Nobody Gets Me","SZA",2022,12,2536,7.83834331555712,100,36,28,81,0,3,18,"Major",28,1
"352","PERO Tï¿","Karol G, Quevedo",2023,2,387,5.95842469302978,140,86,79,39,0,29,11,"Major",68,0
"353","Hype Boy","NewJeans",2022,8,892,6.79346613258001,100,59,94,27,0,23,29,"Minor",78,0
"354","Bloody Mary","Lady Gaga",2011,1,3909,8.27103686579295,100,59,65,2,0,3,13,"Minor",49,0
"355","Monotonï¿½","Ozuna, Shakira",2022,10,3645,8.20111164444276,132,87,70,42,0,5,21,"Minor",82,0
"356","ýýý98 Braves","Morgan Wallen",2023,3,282,5.64190707093811,142,49,67,10,0,3,26,"Major",48,0
"357","WANDA","Quevedo",2023,1,888,6.78897174299217,176,72,63,25,0,7,21,"Minor",96,0
"358","Thought You Should Know","Morgan Wallen",2022,5,968,6.87523208727658,140,53,70,49,0,3,14,"Major",51,0
"359","In The End","Linkin Park",2000,10,25065,10.1292277296976,105,55,90,1,0,6,32,"Minor",40,0
"360","Zona De Perigo","Leo Santana",2022,12,531,6.27476202124194,135,81,77,75,0,3,35,"Major",97,0
"361","Lovezinho","Treyce",2022,7,242,5.48893772615669,128,82,59,30,0,4,12,"Minor",61,0
"362","I Like You (A Happier Song) (with Doja Cat)","Post Malone, Doja Cat",2022,6,5281,8.57187075270693,101,74,69,12,0,7,12,"Major",43,0
"363","Neverita","Bad Bunny",2022,5,2590,7.85941315469358,122,88,50,7,0,5,14,"Major",43,0
"364","Vista Al Mar","Quevedo",2022,9,1769,7.47816969415979,105,76,56,80,12,13,10,"Minor",49,0
"365","Sem Alianï¿½ï¿½a no ","MC Xenon, Os Gemeos da Putaria",2022,12,454,6.11809719804135,83,53,36,73,0,33,11,"Major",40,0
"366","Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons, League of Legends, JID, Arcane",2021,9,6180,8.72907355045174,77,72,76,24,0,28,42,"Minor",59,0
"367","Revenge","XXXTENTACION",2017,8,3600,8.1886891244442,140,75,25,78,0,26,11,"Minor",18,0
"368","Bombonzinho - Ao Vivo","Israel & Rodolffo, Ana Castela",2022,11,1254,7.13409372119287,158,65,95,31,0,5,92,"Major",72,0
"369","LA CANCIï¿½","J Balvin, Bad Bunny",2019,6,6398,8.76374072050946,176,75,65,15,0,32,11,"Major",43,1
"370","Quï¿½ï¿½ Ago","Yuridia, Angela Aguilar",2022,10,660,6.49223983502047,98,73,57,56,0,2,5,"Major",88,0
"371","Love Again","The Kid Laroi",2023,1,1283,7.15695636461564,107,66,40,72,0,3,11,"Minor",47,0
"372","After Hours","The Weeknd",2020,2,8084,8.99764207852351,109,66,57,10,1,3,12,"Minor",16,0
"373","About Damn Time","Lizzo",2022,7,2332,7.75448154747038,109,84,74,10,0,7,34,"Minor",72,0
"374","Born With A Beer In My Hand","Morgan Wallen",2023,3,203,5.31320597904179,148,53,81,5,0,4,36,"Major",61,0
"375","ýýýýýýýýýýýýýýýýýýýýý","Fujii Kaze",2020,5,685,6.52941883826223,158,60,76,17,0,5,19,"Minor",52,0
"376","Besos Moja2","Wisin & Yandel, ROSALï¿½",2022,9,2460,7.80791662892641,94,74,73,6,0,6,10,"Minor",64,0
"377","Maan Meri Jaan","King",2022,10,288,5.66296048013595,96,70,51,35,0,4,10,"Minor",40,0
"378","Moscow Mule","Bad Bunny",2022,5,4572,8.4277060249147,100,80,67,29,0,3,12,"Minor",29,0
"379","My Universe","Coldplay, BTS",2021,9,6127,8.72046051272565,105,58,68,1,0,4,14,"Major",42,0
"380","Devil Donï¿½ï¿½ï¿½","Morgan Wallen",2023,3,166,5.11198778835654,125,53,66,38,0,3,9,"Major",32,0
"381","LLYLM","ROSALï¿½",2023,1,1838,7.51643330291563,170,56,63,13,0,27,19,"Minor",56,0
"382","I'm Not Here To Make Friends","Sam Smith, Calvin Harris, Jessie Reyez",2023,1,1890,7.54433210805369,115,70,90,17,0,6,41,"Major",84,0
"383","TRUSTFALL","P!nk",2023,1,2098,7.64873978895624,122,64,89,0,0,9,15,"Major",25,0
"384","ANTIFRAGILE","LE SSERAFIM",2022,10,761,6.63463335786169,105,88,80,8,0,8,11,"Minor",82,0
"385","Boy's a liar","PinkPantheress",2022,11,1225,7.11069612297883,133,66,84,25,0,4,21,"Major",74,0
"386","VIBE (feat. Jimin of BTS)","TAEYANG, Jimin",2023,1,415,6.0282785202307,100,79,68,7,0,4,26,"Major",60,0
"387","Shirt","SZA",2022,10,3469,8.15162164696975,120,82,45,15,3,10,9,"Minor",55,0
"388","Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By","Rihanna",2022,10,3311,8.10500553754725,177,25,30,90,0,3,13,"Major",17,0
"389","STAR WALKIN' (League of Legends Worlds Anthem)","Lil Nas X",2022,9,2616,7.86940171257709,142,64,72,15,0,5,9,"Minor",31,0
"390","Sex, Drugs, Etc.","Beach Weather",2016,11,3006,8.00836557031292,144,57,84,1,1,4,52,"Minor",47,0
"391","Boy With Luv (feat. Halsey)","Halsey, BTS",2019,4,4260,8.35702443926342,120,65,86,9,0,10,19,"Minor",80,0
"392","Hey, Mickey!","Baby Tate",2016,9,482,6.1779441140506,135,92,51,55,0,6,15,"Major",73,0
"393","Calm Down","Rï¿½ï",2022,2,4013,8.29729437026692,107,81,78,38,0,4,12,"Major",82,0
"394","Jhoome Jo Pathaan","Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",2022,12,138,4.92725368515721,105,82,74,10,0,7,33,"Major",62,1
"395","Escapism. - Sped Up","RAYE, 070 Shake",2022,11,1368,7.2211050981825,108,44,77,9,0,20,9,"Minor",38,0
"396","Space Song","Beach House",2015,1,17852,9.78987082574916,147,51,79,22,13,3,14,"Minor",62,0
"397","Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]","BTS, Jung Kook, FIFA Sound",2022,11,889,6.7900972355139,115,71,88,16,0,4,44,"Major",34,0
"398","Te Felicito","Shakira, Rauw Alejandro",2022,4,4796,8.4755375161474,174,70,64,23,0,32,8,"Major",57,0
"399","Muï¿½ï¿½","Steve Aoki, Tini, La Joaqui",2023,1,658,6.48920493132532,90,68,71,3,0,8,31,"Minor",83,0
"400","TV","Billie Eilish",2022,7,3009,8.00936307663004,141,41,25,84,1,4,14,"Minor",9,0
"401","I'm Not The Only One","Sam Smith",2014,1,17492,9.76949891253281,82,68,49,56,0,4,8,"Major",50,0
"402","Heather","Conan Gray",2020,3,6170,8.72745411689943,92,47,43,62,0,3,32,"Major",25,0
"403","Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",2022,12,130,4.86753445045558,116,77,80,6,0,4,15,"Minor",65,0
"404","One Kiss (with Dua Lipa)","Calvin Harris, Dua Lipa",2017,6,27705,10.2293681813014,124,79,86,4,0,11,8,"Minor",59,0
"405","Sugar Rush Ride","TOMORROW X TOGETHER",2023,1,359,5.88332238848828,125,71,89,1,0,9,17,"Minor",83,0
"406","Pink Venom","BLACKPINK",2022,8,1963,7.58222919427646,90,80,69,2,0,10,27,"Major",71,0
"407","WAIT FOR U (feat. Drake & Tems)","Drake, Future, Tems",2022,4,5491,8.61086566727887,83,46,64,31,0,34,7,"Major",34,0
"408","Don't Start Now","Dua Lipa",2019,10,27119,10.2079898682182,124,79,79,1,0,8,10,"Minor",68,0
"409","After Dark","Mr.Kitty",2014,8,1776,7.48211892355212,140,58,60,7,41,3,8,"Major",4,0
"410","Eu Gosto Assim - Ao Vivo","Gustavo Mioto, Mari Fernandez",2022,9,1473,7.29505641646263,154,64,91,15,0,4,72,"Major",61,0
"411","INDUSTRY BABY (feat. Jack Harlow)","Jack Harlow, Lil Nas X",2021,7,13315,9.49664649824803,150,74,70,2,0,6,5,"Minor",89,0
"412","MIDDLE OF THE NIGHT","Elley Duhï¿",2020,1,4057,8.30819906320645,186,41,61,2,0,5,12,"Minor",9,0
"413","Atlantis","Seafret",2015,4,3045,8.021256180144,166,40,48,5,0,3,12,"Minor",23,0
"414","PUNTO 40","Baby Rasta, Rauw Alejandro",2022,9,3006,8.00836557031292,107,87,83,0,4,9,31,"Major",20,0
"415","Evoque Prata","DJ Escobar, MC MENOR SG, MC MENOR HR",2022,9,852,6.74758652682932,87,87,52,31,0,24,28,"Major",52,1
"416","How Do I Say Goodbye","Dean Lewis",2022,8,2163,7.67925142595306,82,40,64,21,0,7,7,"Major",39,0
"417","Blind","SZA",2022,12,1484,7.30249642372733,114,46,28,91,0,4,21,"Minor",60,0
"418","Die For You","Joji",2022,11,1703,7.44014668066269,148,47,52,38,13,5,29,"Major",15,0
"419","Doja","Central Cee",2022,7,4169,8.3354314778808,140,91,57,38,0,29,40,"Major",97,0
"420","Gatita","Bellakath",2022,10,1054,6.96034772910131,101,90,81,15,24,6,33,"Major",76,1
"421","Rumble","Skrillex, Flowdan, Fred again..",2022,1,2849,7.95472333449791,140,81,84,5,23,6,6,"Minor",6,0
"422","Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage]","Travis Scott, 21 Savage, Metro Boomin",2022,12,1602,7.3790081276283,88,49,66,19,0,29,18,"Minor",24,1
"423","Yonaguni","Bad Bunny",2021,6,9644,9.17409123930106,180,64,65,28,0,12,14,"Major",44,0
"424","Super Freaky Girl","Nicki Minaj",2022,8,4827,8.48198043566049,133,95,89,6,0,24,31,"Major",91,0
"425","Running Up That Hill (A Deal With God)","Kate Bush",1985,9,21811,9.99016970867185,108,63,55,72,0,6,6,"Minor",20,0
"426","Dream On","Aerosmith",1973,1,168,5.12396397940326,80,39,43,39,0,3,23,"Minor",24,0
"427","Limbo","Freddie Dredd",2022,8,688,6.53378883793334,75,80,62,3,6,46,11,"Minor",46,0
"428","Where Are You Now","Lost Frequencies, Calum Scott",2021,7,10565,9.26530193005016,121,67,64,52,0,10,17,"Minor",26,0
